Title,Album,Artist,Duration,Index
Is This Love,Legend,Bob Marley,230763,178
It&#39;s Coming Down,Fashion Nugget,Cake,223444,229
Italian Leather Sofa,Fashion Nugget,Cake,349180,231
J&#39;en Connais,Quelqu&#39;un M&#39;a Dit,Carla Bruni,154225,243
Jackie Go!,Kinda&#39; Kinky,Ursula 1000,274000,48
Jackson Cannery,Naked Baby Photos,Ben Folds Five,241789,134
Jamming,Legend,Bob Marley,211017,183
Jane,Maybe You Should Drive,Barenaked Ladies,244033,92
Jimmy Jazz,London Calling,Clash,236132,267
Journey Inwards,Journey Inwards,LTJ Bukem,314000,423
Jumping Someone Else&#39;s Train,Staring At The Sea: The Singles,The Cure,174928,335
Just like Heaven (2006 Remaster),Kiss Me Kiss Me Kiss Me,The Cure,212000,374
Kathy&#39;s Waltz,Time Out,Dave Brubeck Quartet,289380,430
Killing An Arab,Staring At The Sea: The Singles,The Cure,141336,332
Kiss On My List (Remastered),The Very Best Of Daryl Hall &amp; John Oates,Daryl Hall &amp; John Oates,263000,165
Knock That Door,Lost Marbles and Exploded Evidence,Enon,173000,17
Kong,Black Sands,Bonobo,236782,184
Koop Island Blues (feat. Ane Brun),Koop Islands,Koop,272000,23
L.E.S. Artistes,Santogold,Santigold,204000,31
La Derniere Minute,Quelqu&#39;un M&#39;a Dit,Carla Bruni,62660,245
La La La,The Bird And The Bee,The Bird &amp; The Bee,199183,154
La Mer,The Other Woman,Chantal Chamberland,230000,395
La Negra Celina,Loteria de la Cumbia Lounge,Charanga Cakewalk,270712,255
La ritournelle,Politics,Sebastien Tellier,454000,358
Ladyfingers,Electric Honey,Luscious Jackson,207000,352
Le Pain Perdu,Viva! La Woman,Cibo Matto,208104,264
Le Plus Beau Du Quartier,Quelqu&#39;un M&#39;a Dit,Carla Bruni,210048,244
Le Toi Du Moi,Quelqu&#39;un M&#39;a Dit,Carla Bruni,200906,242
Let My Love Open The Door,Empty Glass,Pete Townshend,164000,285
Let&#39;s Dance,Let&#39;s Dance,David Bowie,248950,438
Let&#39;s Go To Bed,Staring At The Sea: The Singles,The Cure,212862,340
Lighten Up,Check Your Head,Beastie Boys,160784,97
Lights Out,Santogold,Santigold,192000,30
Like the Weather,In My Tribe,"10,000 Maniacs",236000,11
Little People Talk,Chewing Lessons de España,Barefoot Gravediggers,173888,90
Locked Out of Heaven,Unorthodox Jukebox,Bruno Mars,233000,168
London Calling,London Calling,Clash,199756,266
Long Distance Call,It&#39;s Never Been Like that,Phoenix,186000,406
Looking For Satellites,Earthling,David Bowie,320911,442
Loser,Mellow Gold,Beck,235023,5
Lost In the Supermarket,London Calling,Clash,229060,270
Love Island,"You&#39;ve Come A Long Way, Baby",Fatboy Slim,318000,13
Love You Madly,Comfort Eagle,Cake,236756,237
Lovefool,First Band On The Moon,Cardigans,198635,238
Lovely Day Inside,Sunshine Today,Mo&#39; Horizons,350000,310
Mad About You,The Magnificent Tree,Hooverphonic,223000,367
Mambuloo,... And The New Bohemian Freedom,Mo&#39; Horizons,292000,142
Mammago&#39;s Garage,Beyond Good &amp; Evil,Christophe Heral,156546,258
Man,Please Clap Your Hands,The Bird And The Bee,183000,156
Maneater (Remastered),The Very Best Of Daryl Hall &amp; John Oates,Daryl Hall &amp; John Oates,271000,162
Maps,Maps &amp; Father King,Emancipator,262000,404
