Title,Album,Artist,Duration,Index
Sixteen Saltines,Blunderbuss,Jack White,155000,45
Smack My Bitch Up,The Fat Of The Land,Prodigy,342000,43
Smile,"Alright, Still",Lily Allen,196000,197
Something For Your M.I.N.D.,Superorganism,Superorganism,165000,106
Something Good Can Work,Tourist History,Two Door Cinema Club,164000,166
Song 2 (2012 Remaster),Blur,Blur,121000,171
Soul Killing,Sounds From Nowheresville,The Ting Tings,196000,30
Spin The Bottle,Become What You Are,The Juliana Hatfield Three,143000,102
Spooky,"Music From The Motion Picture Lock, Stock And Two Smoking Barrels",Dusty Springfield,155000,92
Stiff Jazz,Gran Riserva,dZihan &amp; Kamien,353436,8
Stutter,Elastica,Elastica,142000,40
Sunday Morning,Songs About Jane,Maroon 5,244000,186
Superfly,Superfly,Curtis Mayfield,233000,148
Supernova,Whip-Smart,Liz Phair,168000,150
"Sweet and Tender Hooligan (John Peel Session, 12/2/86)",Louder Than Bombs,The Smiths,216000,170
Sympathy For The Devil,Beggars Banquet,The Rolling Stones,377000,194
Tangerine Speedo,Caviar,Caviar,219740,77
Technologic (Radio Edit),Technologic,Daft Punk,166000,29
Tenderness,All The Rage,General Public,218000,101
The Big Bad Wolf,The Glorious Dead,The Heavy,200000,195
The Girl Got Hot,Raditude,Weezer,194000,180
The Joker,Palookaville (Parental Advisory),Fatboy Slim,321000,38
The Prawn Song,Superorganism,Superorganism,195000,105
Things Can Only Get Better,Best Of,Howard Jones,235000,89
This Head I Hold,Mondo,Electric Guest,175000,39
This World,Selah Sue,Selah Sue,284000,3
Thunder,Invaders Must Die,The Prodigy,249000,4
Tick Tick Boom,The Black And White Album,The Hives,205000,20
Treat Me Like Your Mother,Horehound,The Dead Weather,250000,111
Troublemaker,Weezer (Red Album),Weezer,164000,190
Turning Japanese,Turning Japanese - Best Of The Vapors,The Vapors,225000,14
U Don&#39;t Know Me,The Singles,Basement Jaxx,215000,103
U Got the Look,Sign &quot;O&quot; the Times,Prince,227000,58
Ugly,Fishbone,Fishbone,171000,117
Unbelievable,Schubert Dip,EMF,209000,16
Universal Heart-Beat,Only Everything,Juliana Hatfield,205000,100
Vibes and Stuff,The Low End Theory,A Tribe Called Quest,257000,162
Victrola,American Thighs,Veruca Salt,139000,141
Vigilante Shuffle,Interstate &#39;76 Soundtrack,Bullmark,120770,66
Waiting Room,13 Songs,Fugazi,173000,49
Wake Up,Wake Up,Brass Against,361000,112
Wannabe In L.A,Heart On,Eagles Of Death Metal,135000,131
Way Down Now,Best In Show,World Party,229000,11
"Welcome Back (Theme from Welcome Back, Kotter)",Welcome Back,John Sebastian,170000,109
"Whatever, Whenever",Vertigo,Groove Armada,228000,19
Where&#39;s Your Head At,Rooty,Basement Jaxx,285000,125
Wonderful Night (Radio Edit;; Explicit),Wonderful Night (Parental Advisory),Fatboy Slim,166000,10
Wonderful feat. Earl Zinger,Dehli 9,Tosca,303000,133
Word Up,Word Up,Cameo,260000,73
Wrong &#39;Em Boyo,London Calling,Clash,192296,84
You Sexy Thing,Hot Chocolate,Hot Chocolate,244000,68
You&#39;ll Find A Way,Santogold,Santigold,180000,183
